"subject_id" "labels" "mean(body_acc_x_V1:body_acc_x_V128)" "mean(body_acc_y_V1:body_acc_y_V128)" "mean(body_acc_z_V1:body_acc_z_V128)" "mean(body_gyro_x_V1:body_gyro_x_V128)" "mean(body_gyro_y_V1:body_gyro_y_V128)" "mean(body_gyro_z_V1:body_gyro_z_V128)" "mean(total_acc_x_V1:total_acc_x_V128)" "mean(total_acc_y_V1:total_acc_y_V128)" "mean(total_acc_z_V1:total_acc_z_V128)"
1 "LAYING" 0.07158013 0.01234478 -0.05474591 0.1286313 0.03735951 0.3477025 0.168456 0.8016329 0.5619349
1 "SITTING" -0.08885533 0.3491606 0.2920406 0.05853499 0.03468009 -0.1154221 0.9068317 0.1398434 0.3950031
1 "STANDING" 0.0001808515 0.01076681 0.05556068 0.03019122 0.06601362 0.02285864 1.012817 -0.1232167 0.1029341
1 "WALKING" 0.3767984 -0.07615856 -0.01594575 -0.5624105 0.475277 0.2787811 1.387865 -0.3367674 -0.05730443
1 "WALKING_DOWNSTAIRS" -0.2155845 0.05320855 0.0178802 0.2202674 0.159655 0.01094215 0.7911462 -0.1910113 -0.03906836
1 "WALKING_UPSTAIRS" -0.08881959 -0.05260389 0.1089787 0.379767 0.6916201 0.03231439 0.9253372 -0.282266 -0.001155615
2 "LAYING" -0.09748642 -0.0170921 0.009029861 0.03654161 -0.1258997 0.0883587 -0.1738997 0.7218398 0.6725026
2 "SITTING" -0.001773176 0.1050878 -0.0002218668 -0.03434671 -0.1000762 0.1893471 1.002248 -0.06538069 0.1408118
2 "STANDING" 0.01165315 -0.02939904 0.1068262 0.4374637 0.5313492 0.1365279 1.041216 -0.2697959 0.02377977
2 "WALKING" -0.03167277 -0.08279653 -0.06853677 -0.6562038 0.5171189 -0.2085947 0.9455455 -0.4315797 -0.05446144
2 "WALKING_DOWNSTAIRS" -0.03107048 0.1951085 -0.008433126 0.1365671 0.327327 0.1042105 0.9411338 -0.1579942 0.003445496
2 "WALKING_UPSTAIRS" 0.3655341 0.1947684 0.1793688 -0.6440646 0.610732 -0.07957451 1.341561 -0.1778423 0.1356153
3 "LAYING" -0.09427052 -0.18372 0.1537553 0.3775851 -0.3138286 0.4334648 0.07333839 0.708753 0.6647671
3 "SITTING" 0.07374011 0.4219323 0.274997 -0.00317816 -0.1510635 0.1226299 0.9833739 0.05752497 0.2621771
3 "STANDING" -0.04957322 0.05148186 0.06149769 0.3574282 0.8765251 -0.577288 0.9517357 -0.3030943 -0.133766
3 "WALKING" -0.011627 0.1476625 0.1370754 -0.04540881 -0.188645 0.03263015 0.9887975 -0.1004935 0.0127532
